PFId,AllNm,PrjCode,OPSCodeAgg,EmgAgg,AllYr,AllSrc,OrgNm,OrgTypeId,PrjTitle,AStrDt,AEndDt,PrjDur,PrgBdg,BgdDC,BdgSC,PrjSubDt,BenAgg,PrjGM,PrjStsNm,PrjStsId,PrjStsCode,PartCode,ApprDt
15,2016 - SHF 1st Reserve Allocation,SUD-16/HSD20/R/CCS/UN/1576,,,2016,1,United Nations Department of Safety and Security,3,Additional Security Capacity in Support of Humanitarian Agencies and INGOs (Darfur),6/12/2016 12:00:00 AM,6/11/2018 12:00:00 AM,24 Months,400014.2,373845,0,3/14/2016 2:21:50 PM,2500##1600##0##0,1- The project is designed to contribute in some limited way to gender equality,Reporting,294,PRJ_UND_FINAL_RPT,1600.7625,6/14/2016 10:10:40 AM
15,2016 - SHF 1st Reserve Allocation,SUD-16/HSD20/R/CCS/UN/1705,,,2016,1,International Organization for Migration,3,Implementation of the Displacement Tracking Matrix (DTM) and emergency information management in Sudan,5/31/2016 12:00:00 AM,5/30/2017 12:00:00 AM,12 Months,499993.4,386883.6,80400,3/14/2016 11:49:43 AM,70700##84611##97305##97384,2a- The project is designed to contribute significantly to gender equality,Reporting,294,PRJ_UND_FINAL_RPT,782.5950,6/12/2016 11:18:42 AM
15,2016 - SHF 1st Reserve Allocation,SUD-16/HSD20/R/CCS/UN/1713,,,2016,1,United Nations Department of Safety and Security,3,"AFP - INGOs Security Services - Enabling Safe Humanitarian Program Delivery (Blue Nile, Kassala, Khartoum, North Kordofan, South Kordofan, West Kordofan)",6/12/2016 12:00:00 AM,6/11/2017 12:00:00 AM,12 Months,200000.1,186916,0,3/14/2016 1:13:10 PM,140000##120000##15000##25000,1- The project is designed to contribute in some limited way to gender equality,Reporting,294,PRJ_UND_FINAL_RPT,1600.7625,6/14/2016 10:11:07 AM
15,2016 - SHF 1st Reserve Allocation,SUD-16/HSD20/R/E/UN/1524,,,2016,1,United Nations Children's Fund,3,Monitoring and Reporting Support to Education Cluster humanitarian pooled fund allocations in Sudan (all allocations types of CHF and CERF).,4/1/2016 12:00:00 AM,3/31/2017 12:00:00 AM,12 Months,81453.11,76124.4,0,2/17/2016 7:34:27 AM,0##0##27000##27000,"4- Not applicable - Only used for very small number of projects, such as 'support services'",Project Closure,182,PRJ_UND_CLSR,1695.6225,5/11/2016 6:57:29 AM
15,2016 - SHF 1st Reserve Allocation,SUD-16/HSD20/R/ESNFIs/UN/1520,,,2016,1,United Nations High Commissioner for Refugees,3,ES/NFIs monitoring and reporting,5/11/2016 12:00:00 AM,8/9/2017 12:00:00 AM,"14 Months, 30 Days",80164.4,74920,0,2/15/2016 11:31:39 AM,189000##231000##126000##154000,2a- The project is designed to contribute significantly to gender equality,Project Closure,182,PRJ_UND_CLSR,1683.7650,5/11/2016 6:53:34 AM
15,2016 - SHF 1st Reserve Allocation,SUD-16/HSD20/R/FSL/UN/1529,,,2016,1,Food and Agriculture Organization of the United Nations,3,Monitoring and Reporting Support to FSL Sector,3/1/2016 12:00:00 AM,9/28/2017 12:00:00 AM,"18 Months, 28 Days",79672.2,74460,0,2/17/2016 6:18:37 AM,0##0##0##0,2a- The project is designed to contribute significantly to gender equality,Project Closure,182,PRJ_UND_CLSR,498.0150,3/8/2016 1:13:55 PM
15,2016 - SHF 1st Reserve Allocation,SUD-16/HSD20/R/H/UN/1528,,,2016,1,World Health Organization,3,Monitoring and Reporting  of health sector CHF and CERF  projects in 2015/2016 in Sudan,2/1/2016 12:00:00 AM,3/31/2017 12:00:00 AM,14 Months,85600,80000,0,2/16/2016 3:10:07 PM,928320##891917##1005778##1046830,2a- The project is designed to contribute significantly to gender equality,Project Closure,182,PRJ_UND_CLSR,1790.4825,3/2/2016 1:53:51 PM
15,2016 - SHF 1st Reserve Allocation,SUD-16/HSD20/R/N/UN/1522,,,2016,1,United Nations Children's Fund,3,Monitoring and reporting support for nutrition Sector humanitarian pooled fund allocations in Sudan (CHF and CERF all allocations types).,6/1/2016 12:00:00 AM,5/31/2017 12:00:00 AM,12 Months,80022.65,74787.52,0,2/17/2016 7:34:27 AM,0##12280##6140##6140,2a- The project is designed to contribute significantly to gender equality,Reporting,294,PRJ_UND_FINAL_RPT,1695.6225,5/12/2016 12:48:23 PM
15,2016 - SHF 1st Reserve Allocation,SUD-16/HSD20/R/P/UN/1523,,,2016,1,United Nations High Commissioner for Refugees,3,Protection Sector Monitoring and Reporting,2/1/2016 12:00:00 AM,1/31/2017 12:00:00 AM,12 Months,74759,74759,0,2/16/2016 7:03:19 AM,0##0##0##0,2a- The project is designed to contribute significantly to gender equality,Project Closure,182,PRJ_UND_CLSR,1683.7650,3/2/2016 1:52:47 PM
15,2016 - SHF 1st Reserve Allocation,SUD-16/HSD20/R/WASH/UN/1521,,,2016,1,United Nations Children's Fund,3,Monitoring and Reporting Support to WASH Sector Pooled fund projects in Sudan,4/1/2016 12:00:00 AM,5/31/2017 12:00:00 AM,14 Months,85514.4,79920,0,2/14/2016 6:32:54 AM,306298##306297##386400##386400,2a- The project is designed to contribute significantly to gender equality,Reporting,294,PRJ_UND_FINAL_RPT,1695.6225,6/12/2016 10:25:18 AM
