PFId,AllNm,PrjCode,OPSCodeAgg,EmgAgg,AllYr,AllSrc,OrgNm,OrgTypeId,PrjTitle,AStrDt,AEndDt,PrjDur,PrgBdg,BgdDC,BdgSC,PrjSubDt,BenAgg,PrjGM,PrjStsNm,PrjStsId,PrjStsCode,PartCode,ApprDt
15,2023 - SHF Reserve for Emergencies (Displacement and returnees’ response),CBPF-SUD-23-R-INGO-24811,,,2023,1,International NGO,2,"Consortium emergency WASH response for Blue Nile IDPs, Aljabalain Locality, White Nile state  ",6/1/2023 12:00:00 AM,2/29/2024 12:00:00 AM,9 Months,499998.6,467288.4,0,4/4/2023 7:42:34 AM,1825##2387##4212##5616,"3- Likely to contribute to gender equality, but without attention to age groups",Project Closure,5504,PRJ_UND_AUD,901698.4704,6/27/2023 11:10:15 AM
15,2023 - SHF Reserve for Emergencies (Displacement and returnees’ response),CBPF-SUD-23-R-INGO-24822,,,2023,1,International NGO,2,Emergency WaSH response for conflict-affected population in al-Geneina and along the Adikong/al-Geneina axis,5/7/2023 12:00:00 AM,2/6/2024 12:00:00 AM,9 Months,495000,462616.8,0,4/3/2023 12:57:06 PM,26374##31445##19272##24344,"4- Likely to contribute to gender equality, including across age groups",Project Closure,5504,PRJ_UND_AUD,971531.7376,5/23/2023 7:31:52 PM
15,2023- Reserve for Emergencies (Multi-Sector Needs Assessment),CBPF-SUD-23-R-INGO-24841,,,2023,1,International NGO,2,Multi Sectoral Needs Assessment in Conflict Affected Areas,4/10/2023 12:00:00 AM,7/9/2023 12:00:00 AM,3 Months,150000,140186.9,0,3/31/2023 3:58:08 PM,527381##527381##449250##449250,0- Does not systematically link programming actions,Project Closure,5504,PRJ_UND_AUD,1001022.1376,5/23/2023 3:29:14 PM
15,2023 - SHF Reserve for Emergencies (Flexible life-saving response to conflict-affected people in Sudan),CBPF-SUD-23-R-INGO-25583,,,2023,1,International NGO,2,Sudan Crisis - SHF conflict response in the SPLM-N Areas,7/12/2023 12:00:00 AM,7/11/2024 12:00:00 AM,12 Months,3321000,3103738,0,6/11/2023 10:02:09 AM,25819##40944##28068##28069,"4- Likely to contribute to gender equality, including across age groups",Project Closure,5504,PRJ_UND_AUD,1001022.1376,7/19/2023 1:36:40 PM
15,2023 - SHF Reserve for Emergencies (Flexible life-saving response to conflict-affected people in Sudan),CBPF-SUD-23-R-INGO-25584,,,2023,1,International NGO,2,Emergency Humanitarian Response to Conflict Affected IDPs in South Kordofan State,7/9/2023 12:00:00 AM,1/8/2024 12:00:00 AM,6 Months,700000,654205.6,0,6/12/2023 9:08:30 AM,1400##1610##1960##2030,"3- Likely to contribute to gender equality, but without attention to age groups",Project Closure,5504,PRJ_UND_AUD,904765.4720,8/8/2023 11:45:46 AM
15,2023 - SHF Reserve for Emergencies (Flexible life-saving response to conflict-affected people in Sudan),CBPF-SUD-23-R-INGO-25585,,,2023,1,International NGO,2,"Provision of multi-sectoral life-saving WASH, Shelter, NFIs and Protection assistance for the displaced people affected by crises and fighting in Central Region – SPLM in Nuba Mountains",6/21/2023 12:00:00 AM,6/20/2024 12:00:00 AM,12 Months,999995.6,934575.4,0,6/20/2023 7:21:57 AM,2000##3000##1800##2600,"4- Likely to contribute to gender equality, including across age groups",Project Closure,5504,PRJ_UND_AUD,905001.3952,7/4/2023 6:49:40 AM
15,2023 - SHF Reserve for Emergencies (Flexible life-saving response to conflict-affected people in Sudan),CBPF-SUD-23-R-INGO-25586,,,2023,1,International NGO,2,Emergency Response to IDP’s influx in South Kordofan,7/5/2023 12:00:00 AM,7/4/2024 12:00:00 AM,12 Months,1800000,1793365,0,6/11/2023 1:04:48 PM,50312##59596##20096##20096,"4- Likely to contribute to gender equality, including across age groups",Project Closure,5504,PRJ_UND_AUD,934019.9488,7/21/2023 5:27:13 PM
15,2023 - SHF Reserve for Emergencies (Flexible life-saving response to conflict-affected people in Sudan),CBPF-SUD-23-R-INGO-25587,,,2023,1,International NGO,2,"Increased access to protection services for Host Communities, Internally Displaced Persons, and Returnees in South Kordofan.",6/16/2023 12:00:00 AM,6/15/2024 12:00:00 AM,12 Months,819566.1,765949.6,0,6/11/2023 7:20:08 AM,4410##11168##5110##6790,"4- Likely to contribute to gender equality, including across age groups",Project Closure,5504,PRJ_UND_AUD,900754.7776,7/4/2023 6:52:35 AM
15,2023 - SHF Reserve for Emergencies 48h response (Flexible life-saving response to conflict-affected people in all of Sudan),CBPF-SUD-23-R-INGO-25606,,,2023,1,International NGO,2,Provision of immediate and lifesaving nutrition services to people affected by ongoing clashes and conflicts in hotspots and IDP across Sudan,6/18/2023 12:00:00 AM,12/31/2024 12:00:00 AM,"18 Months, 14 Days",2499999,2336448,0,6/12/2023 9:29:19 AM,161506##215003##86749##93206,"4- Likely to contribute to gender equality, including across age groups",Project Closure,5504,PRJ_UND_AUD,889194.5408,7/27/2023 5:24:44 PM
15,2023 - SHF Reserve for Emergencies 48h response (Flexible life-saving response to conflict-affected people in all of Sudan),CBPF-SUD-23-R-INGO-25607,,,2023,1,International NGO,2,Provision of immediate and lifesaving health services to people affected by ongoing clashes and conflicts in hotspots and IDP across Sudan,6/18/2023 12:00:00 AM,12/31/2024 12:00:00 AM,"18 Months, 14 Days",3500000,3271028,0,6/12/2023 9:58:37 AM,157186##311197##98948##233534,"4- Likely to contribute to gender equality, including across age groups",Project Closure,5504,PRJ_UND_AUD,889194.5408,7/27/2023 5:49:36 PM
